date1,date2,date3,date4
2012-01-02,2013-01-02,2013-01-03,2013-07-03
2012-02-01,2013-02-01,2013-02-04,2013-08-02
2012-03-01,2013-03-04,2013-03-05,2013-09-02
2012-04-02,2013-04-04,2013-04-05,2013-10-01
2012-05-02,2013-05-02,2013-05-03,2013-10-28
2012-06-01,2013-06-03,2013-06-04,2013-11-27
2012-07-02,2013-07-02,2013-07-03,2013-12-30
2012-08-01,2013-08-01,2013-08-02,2014-01-30
2012-09-03,2013-09-03,2013-09-04,2014-03-04
2012-10-01,2013-10-01,2013-10-02,2014-04-01
2012-11-01,2013-11-01,2013-11-04,2014-05-07
2012-12-03,2013-12-03,2013-12-04,2014-06-06
2013-01-02,2013-12-30,2013-12-31,2014-07-01
2013-02-01,2014-01-30,2014-01-31,2014-07-31
2013-03-01,2014-02-27,2014-02-28,2014-08-28
2013-04-02,2014-03-27,2014-03-28,2014-09-25
2013-05-02,2014-04-29,2014-04-30,2014-10-24
2013-06-03,2014-05-30,2014-06-02,2014-11-25
2013-07-01,2014-06-27,2014-06-30,2014-12-23
2013-08-01,2014-07-30,2014-07-31,2015-01-28
2013-09-02,2014-08-29,2014-09-01,2015-02-27
2013-10-01,2014-09-29,2014-09-30,2015-03-30
2013-11-01,2014-10-30,2014-10-31,2015-05-05
2013-12-02,2014-11-28,2014-12-01,2015-06-03
2014-01-02,2014-12-30,2014-12-31,2015-07-01
2014-02-03,2015-01-30,2015-02-02,2015-07-31
2014-03-03,2015-02-27,2015-03-02,2015-08-28
2014-04-01,2015-03-30,2015-03-31,2015-09-28
2014-05-02,2015-04-29,2015-04-30,2015-10-26
2014-06-02,2015-05-29,2015-06-01,2015-11-24
2014-07-01,2015-06-29,2015-06-30,2015-12-23
2014-08-01,2015-07-30,2015-07-31,2016-01-28
2014-09-01,2015-08-28,2015-08-31,2016-02-26
2014-10-01,2015-09-29,2015-09-30,2016-03-31
2014-11-03,2015-10-30,2015-11-02,2016-05-03
2014-12-01,2015-11-27,2015-11-30,2016-05-31
2015-01-02,2015-12-29,2015-12-30,2016-06-29
2015-02-02,2016-01-29,2016-02-01,2016-07-28
2015-03-02,2016-02-26,2016-02-29,2016-08-25
2015-04-01,2016-03-31,2016-04-01,2016-09-26
2015-05-04,2016-04-28,2016-04-29,2016-10-24
2015-06-01,2016-05-26,2016-05-27,2016-11-21
2015-07-01,2016-06-27,2016-06-28,2016-12-21
2015-08-03,2016-07-28,2016-07-29,2017-01-24
2015-09-01,2016-08-26,2016-08-29,2017-02-22
2015-10-01,2016-09-27,2016-09-28,2017-03-24
2015-11-02,2016-10-27,2016-10-28,2017-04-27
2015-12-01,2016-11-25,2016-11-28,2017-05-29
2016-01-04,2016-12-27,2016-12-28,2017-06-27
2016-02-01,2017-01-24,2017-01-25,2017-07-25
2016-03-01,2017-02-22,2017-02-23,2017-08-23
2016-04-01,2017-03-23,2017-03-24,2017-09-21
2016-05-02,2017-04-25,2017-04-26,2017-10-20
2016-06-01,2017-05-26,2017-05-29,2017-11-21
2016-07-01,2017-06-27,2017-06-28,2017-12-21
2016-08-01,2017-07-26,2017-07-27,2018-01-24
2016-09-01,2017-08-28,2017-08-29,2018-02-26
2016-10-03,2017-09-27,2017-09-28,2018-03-28
2016-11-01,2017-10-26,2017-10-27,2018-04-30
2016-12-01,2017-11-27,2017-11-28,2018-05-31
2017-01-02,2017-12-28,2017-12-29,2018-06-29
2017-02-01,2018-01-30,2018-01-31,2018-07-31
2017-03-01,2018-02-27,2018-02-28,2018-08-28
2017-04-03,2018-04-03,2018-04-04,2018-09-28
2017-05-02,2018-04-27,2018-04-30,2018-10-24
2017-06-01,2018-05-30,2018-05-31,2018-11-23
2017-07-03,2018-06-29,2018-07-02,2018-12-27
2017-08-01,2018-07-30,2018-07-31,2019-01-28
2017-09-01,2018-08-30,2018-08-31,2019-02-28
2017-10-02,2018-09-28,2018-10-01,2019-03-29
2017-11-01,2018-10-30,2018-10-31,2019-05-03
2017-12-01,2018-11-29,2018-11-30,2019-06-04
2018-01-02,2018-12-28,2018-12-31,2019-07-01
2018-02-01,2019-01-30,2019-01-31,2019-07-31
2018-03-01,2019-02-27,2019-02-28,2019-08-28
2018-04-03,2019-03-28,2019-03-29,2019-09-26
2018-05-02,2019-04-29,2019-04-30,2019-10-24
2018-06-01,2019-05-30,2019-05-31,2019-11-25
2018-07-02,2019-06-28,2019-07-01,2019-12-24
2018-08-01,2019-07-30,2019-07-31,2020-01-28
2018-09-03,2019-08-30,2019-09-02,2020-02-28
2018-10-01,2019-09-27,2019-09-30,2020-03-27
2018-11-01,2019-10-30,2019-10-31,2020-05-04
2018-12-03,2019-11-29,2019-12-02,2020-06-03
2019-01-02,2019-12-30,2019-12-31,2020-06-30
2019-02-01,2020-01-30,2020-01-31,2020-07-30
2019-03-01,2020-02-27,2020-02-28,2020-08-27
2019-04-01,2020-03-27,2020-03-30,2020-09-25
2019-05-02,2020-04-28,2020-04-29,2020-10-23
2019-06-03,2020-05-29,2020-06-01,2020-11-24
2019-07-01,2020-06-26,2020-06-29,2020-12-22
2019-08-01,2020-07-29,2020-07-30,2021-01-26
2019-09-02,2020-08-28,2020-08-31,2021-02-25
